                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 657.93,                 4.4981,                 633.72,                0.00544,                0.55263,                0.00491,                0.00191,                 686.84,                 4.7412,                 556.21,                 0.0955,                 0.0005,                 0.0005
                      1,                 585.08,                 4.3061,                 598.79,                0.00597,                0.38158,                0.01166,                0.00611,                 545.77,                 4.5464,                 486.58,               0.090078,              0.0010782,              0.0010782
                      2,                    553,                 4.2233,                 577.41,                0.00889,                0.48684,                0.01153,                0.00521,                 509.06,                 4.4094,                 457.64,               0.084633,              0.0016327,              0.0016327
                      3,                 509.73,                 4.2383,                 537.72,                0.01512,                0.68421,                0.01928,                0.00971,                 471.99,                 4.5383,                 445.86,               0.079163,              0.0021634,              0.0021634
                      4,                 410.36,                 4.2062,                 458.28,                0.00735,                0.38158,                0.01846,                0.00846,                 489.42,                 4.5924,                 443.08,                0.07367,              0.0026703,              0.0026703
                      5,                 446.02,                 4.0918,                 501.95,                0.01406,                0.68421,                 0.1017,                 0.0851,                 571.03,                 4.5095,                 492.44,               0.068154,              0.0031535,              0.0031535
                      6,                 413.98,                 4.0526,                 465.65,                0.00856,                0.57895,                0.06799,                0.03226,                 469.49,                 4.4253,                  434.3,               0.062613,              0.0036129,              0.0036129
                      7,                 305.79,                 4.0616,                 368.04,                 0.0115,                0.65789,                0.02937,                 0.0169,                 457.74,                  4.333,                 419.44,               0.057049,              0.0040486,              0.0040486
                      8,                 426.18,                 3.9683,                  460.2,                0.01175,                0.71053,                0.05891,                0.02571,                 359.14,                 4.1597,                 359.87,                0.05146,              0.0044605,              0.0044605
                      9,                 361.12,                 3.9677,                 417.29,                0.01206,                0.71053,                0.05906,                0.03052,                    433,                 4.2913,                 393.57,               0.045849,              0.0048486,              0.0048486
                     10,                    349,                  3.863,                 383.13,                0.01219,                0.76316,                0.29745,                0.13331,                 354.46,                 4.1159,                 376.72,               0.040213,               0.005213,               0.005213
                     11,                 349.99,                 3.8323,                 391.12,                0.00927,                0.65789,                0.31479,                0.17147,                 345.92,                 4.2561,                 392.64,               0.034554,              0.0055536,              0.0055536
                     12,                 318.53,                 3.8315,                 359.51,                0.00495,                0.52632,                0.27463,                0.09276,                 388.66,                 4.3119,                 424.62,                0.02887,              0.0058705,              0.0058705
                     13,                 404.01,                  3.695,                 445.58,                0.00783,                0.57895,                0.07362,                0.04065,                 536.97,                 4.4828,                 505.42,               0.023164,              0.0061636,              0.0061636
                     14,                 423.02,                 3.7831,                 456.79,                0.00923,                0.60526,                0.04967,                0.01519,                 490.16,                 4.3971,                 478.93,               0.017433,              0.0064329,              0.0064329
                     15,                 407.93,                 3.7239,                 453.65,                0.00662,                0.57895,                  0.065,                0.04974,                  423.9,                 4.3058,                 445.21,               0.011678,              0.0066785,              0.0066785
                     16,                 300.82,                 3.7793,                  348.2,                0.00577,                0.57895,                0.13777,                0.10843,                 394.35,                 4.3176,                 411.12,               0.006832,               0.006832,               0.006832
                     17,                 327.19,                 3.8064,                 391.35,                0.00571,                0.60526,                 0.0511,                0.02923,                 374.11,                 4.2387,                 388.05,               0.006832,               0.006832,               0.006832
                     18,                 392.65,                 3.7877,                 424.49,                0.00577,                0.60526,                0.07314,                0.05316,                 349.62,                 4.2037,                  373.7,               0.006634,               0.006634,               0.006634
                     19,                 393.22,                 3.7628,                 434.04,                0.00967,                0.68421,                0.07134,                0.05565,                 397.68,                 4.1799,                 378.91,               0.006436,               0.006436,               0.006436
                     20,                  276.6,                 3.7851,                 330.73,                0.01165,                0.73684,                0.23933,                0.20927,                 496.19,                 4.0799,                 418.99,               0.006238,               0.006238,               0.006238
                     21,                 303.74,                 3.8134,                 349.05,                0.01906,                0.84211,                0.53814,                0.35759,                 492.32,                 4.1393,                 413.67,                0.00604,                0.00604,                0.00604
                     22,                  345.9,                  3.744,                 394.89,                0.02086,                0.86842,                0.39732,                0.32946,                 465.98,                  4.045,                 398.88,               0.005842,               0.005842,               0.005842
                     23,                 426.35,                  3.771,                 461.47,                0.01972,                0.86842,                0.54555,                 0.4698,                 400.06,                 4.0017,                 364.52,               0.005644,               0.005644,               0.005644
